,OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,ONET SOC 2018 Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012,Prestige_Score
23,123,Graphic Designer,0.643193119204408,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1024,Graphic Designers,27-1024.00,Graphic Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5896036153818082
24,124,Illustrator,0.5997849751377504,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,,,0.4552596159314514,0.5369536277702993
25,125,Interior Designer,0.60354791022712,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1025,Interior Designers,27-1025.00,Interior Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5777100526886217
26,126,Interpreter and/or Translator,0.5847332347802715,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3091,Interpreters and Translators,27-3091.00,Interpreters and Translators,194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,,,0.4552596159314514,0.5324381056630557
27,127,Media and Communication Equipment Worker,0.47399543072167727,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4015,Lighting Technicians,27-4099.00,"Media and Communication Equipment Workers, All Other",777.0,"Miscellaneous and Not Specified Machine Operators, n.e.c…",0.1888263317453443,2960.0,"Media and communication equipment workers, all other",0.42596348884381346,0.4728219536374489
28,127,Media and Communication Equipment Worker,0.47399543072167727,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4099,"Media and Communication Equipment Workers, All Other",27-4099.00,"Media and Communication Equipment Workers, All Other",777.0,"Miscellaneous and Not Specified Machine Operators, n.e.c…",0.1888263317453443,2960.0,,0.4552596159314514,0.4786811790549765
29,128,Merchandising,0.25574519553823416,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1026,Merchandise Displayers and Window Trimmers,27-1026.00,Merchandise Displayers and Window Trimmers,256.0,Advertising and Related Sales Occupations,0.324960300274289,,,0.4552596159314514,0.4472396006321797
30,129,Multi-Media Artist and/or Animator,0.6751780674640505,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1014,Special Effects Artists and Animators,27-1014.00,Multimedia Artists and Animators,194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,,,0.4552596159314514,0.5595715554681894
31,130,Music Director and/or Composer,0.7227523182367962,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2041,Music Directors and Composers,27-2041.00,Music Directors and Composers,186.0,Musicians and Composers,0.42991193879024114,2750.0,"Musicians, singers, and related workers",0.5679513184584177,0.6361179875761297
32,130,Music Director and/or Composer,0.7227523182367962,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2041,Music Directors and Composers,27-2041.01,Music Directors,186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.6135796470707364
33,130,Music Director and/or Composer,0.7227523182367962,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2041,Music Directors and Composers,27-2041.04,Music Composers and Arrangers,186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.6135796470707364
34,131,Musician and/or Singer,0.7064910630291628,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2042,Musicians and Singers,27-2042.00,Musicians and Singers,186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.6087012705084464
35,131,Musician and/or Singer,0.7064910630291628,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2042,Musicians and Singers,27-2042.02,"Musicians, Instrumental",186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.6087012705084464
36,"132,140,124",,0.5203737630114987,,,0.5968312712076074,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustr…",27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustr…",,,0.46221565715935575,,,0.4552596159314514,0.5119257841814807
37,132,Painter,0.3101733637951888,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,188.0,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",0.5139309946585824,,,0.4552596159314514,0.5108107247053395
38,133,Photographer,0.5383684988576805,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4021,Photographers,27-4021.00,Photographers,189.0,Photographers,0.40897935614263026,2910.0,Photographers,0.50709939148073,0.5633993107049546
39,134,Poet,0.491197419701653,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,183.0,Authors,0.667965930417208,,,0.4552596159314514,0.6036266754169352
